# Export CSV started at 23/07/2024 10:30
# System name: "WECS_Odgaard_3_Blade_3.ame"
# Data set name: "1"
# ame_simulation_time;Vw;Ps;A3;A4;A5;A1;A2;A6;
# Time;Wind_speed;Power_sensor;Pitch angle_1;Pitch angle_2;Pitch angle_3;Rotor_speed_sensor;Generator_speed_sensor;Torque_sensor;
# s;m/s;W;deg;deg;deg;rpm;rpm;Nm;
6.1;13.455;2.96608e+06;-0.0319592;-0.0319592;-0.0319592;9.67926;936.184;1.16129e+06;
6.2;13.455;2.9841e+06;0.0467196;0.0467196;0.0467196;9.18978;941.1;1.17527e+06;
6.3;13.455;3.00222e+06;-0.0308482;-0.0308482;-0.0308482;9.81242;947.609;1.19092e+06;
6.4;13.455;3.0205e+06;-0.00729664;-0.00729664;-0.00729664;11.4956;955.653;1.20368e+06;
6.5;13.455;3.03815e+06;0.0685536;0.0685536;0.0685536;9.93224;958.954;1.21818e+06;
6.6;13.455;3.05519e+06;0.029255;0.029255;0.029255;9.97971;964.322;1.23176e+06;
6.7;13.455;3.07242e+06;-0.0251385;-0.0251385;-0.0251385;10.1357;969.896;1.24474e+06;
6.8;13.455;3.09002e+06;-0.114071;-0.114071;-0.114071;9.738;974.818;1.26026e+06;
6.9;13.455;3.10723e+06;-0.0576534;-0.0576534;-0.0576534;9.68247;980.094;1.27657e+06;
7;14.7998;3.12359e+06;0.0619514;0.0619514;0.0619514;9.63479;985.102;1.28848e+06;
7.1;14.7998;3.15084e+06;-0.0300476;-0.0300476;-0.0300476;9.92848;993.988;1.30788e+06;
7.2;14.7998;3.1785e+06;-0.0664343;-0.0664343;-0.0664343;10.8605;1003.9;1.33265e+06;
7.3;14.7998;3.20543e+06;-0.000954138;-0.000954138;-0.000954138;9.62034;1010.54;1.35562e+06;
7.4;14.7998;3.23139e+06;0.0113306;0.0113306;0.0113306;10.6047;1019.99;1.37808e+06;
7.5;14.7998;3.25699e+06;0.0707153;0.0707153;0.0707153;10.6926;1028.08;1.39932e+06;
7.6;14.7998;3.28264e+06;0.0849513;0.0849513;0.0849513;11.7789;1037.58;1.42145e+06;
