# Export CSV started at 23/07/2024 10:32
# System name: "WECS_Odgaard_3_Blade_3.ame"
# Data set name: "5"
# ame_simulation_time;Vw;Ps;A3;A4;A5;A1;A2;A6;
# Time;Wind_speed;Power_sensor;Pitch angle_1;Pitch angle_2;Pitch angle_3;Rotor_speed_sensor;Generator_speed_sensor;Torque_sensor;
# s;m/s;W;deg;deg;deg;rpm;rpm;Nm;
0;3.79961;-69.5823;0;0;0;-1.07796;-1.50851;-20.8747;
0.1;3.79961;928.298;-0.0816965;-0.0816965;-0.0816965;-0.124895;20.287;467.909;
0.2;3.79961;3601.52;-0.199903;-0.199903;-0.199903;0.301679;30.5574;1169.58;
0.3;3.79961;6439.34;-0.126036;-0.126036;-0.126036;0.350184;37.9063;1670.59;
0.4;3.79961;10388.1;0.0132519;0.0132519;0.0132519;-0.133917;42.3999;2357.84;
0.5;3.79961;14161.2;0.0726417;0.0726417;0.0726417;-0.246246;46.2508;2931.85;
0.6;3.79961;17900.7;-0.0355309;-0.0355309;-0.0355309;0.35486;51.092;3409.44;
0.7;3.79961;22700.4;-0.142622;-0.142622;-0.142622;0.386189;55.3355;3989.5;
0.8;3.79961;27100.1;-0.0505351;-0.0505351;-0.0505351;-0.516568;57.8401;4454.52;
0.9;3.79961;32518.3;-0.0446242;-0.0446242;-0.0446242;0.0809502;61.6356;5085.67;
1;6.59011;36959.8;-0.0371008;-0.0371008;-0.0371008;0.687552;64.9481;5542.55;
1.1;6.59011;66219.6;-0.036484;-0.036484;-0.036484;0.405232;79.9692;8003.98;
1.2;6.59011;106530;0.00589784;0.00589784;0.00589784;0.288146;92.5014;11103;
1.3;6.59011;146975;0.0188772;0.0188772;0.0188772;1.0014;104.107;13737.5;
1.4;6.59011;190140;-0.0671478;-0.0671478;-0.0671478;0.950754;112.858;16366.7;
1.5;6.59011;233413;-0.1421;-0.1421;-0.1421;1.69375;121.408;18823.6;
1.6;6.59011;278076;-0.132932;-0.132932;-0.132932;1.46597;127.828;21224;
1.7;6.59011;320155;-0.0111738;-0.0111738;-0.0111738;1.70012;134.261;23305.1;
1.8;6.59011;362179;0.0511224;0.0511224;0.0511224;1.39314;139.167;25339.6;
1.9;6.59011;399994;0.0922403;0.0922403;0.0922403;1.63332;144.02;27093.3;
2;6.09645;434363;-0.0266415;-0.0266415;-0.0266415;0.731796;146.722;28621.5;
2.1;6.09645;453979;-0.12563;-0.12563;-0.12563;0.848063;148.98;29490;
2.2;6.09645;480118;-0.127996;-0.127996;-0.127996;1.60548;152.058;30768.3;
2.3;6.09645;487195;-0.00266111;-0.00266111;-0.00266111;2.39476;154.899;31054.1;
2.4;6.09645;492067;0.0446785;0.0446785;0.0446785;2.15392;156.076;31830.5;
2.5;6.09645;496691;0.0324008;0.0324008;0.0324008;2.19386;157.569;32710.9;
2.6;6.09645;501375;0.076777;0.076777;0.076777;2.39333;159.306;33247.7;
2.7;6.09645;506016;0.121949;0.121949;0.121949;1.41077;159.376;33979.1;
2.8;6.09645;510283;0.0900682;0.0900682;0.0900682;1.12171;160.299;34338.2;
2.9;6.09645;514233;0.00467089;0.00467089;0.00467089;1.04193;161.415;34852.9;
3;5.91011;518198;-0.0374778;-0.0374778;-0.0374778;1.2854;162.99;35549.8;
3.1;5.91011;520661;-0.0918088;-0.0918088;-0.0918088;1.88997;164.603;35808.1;
3.2;5.91011;523043;0.0545897;0.0545897;0.0545897;1.83239;165.264;36075.2;
3.3;5.91011;524995;0.103901;0.103901;0.103901;1.98528;166.085;36157.5;
3.4;5.91011;526815;0.0207681;0.0207681;0.0207681;2.2517;167.023;36843.1;
3.5;5.91011;528762;0.0378017;0.0378017;0.0378017;2.14599;167.481;37307.6;
3.6;5.91011;530763;0.0669297;0.0669297;0.0669297;1.55486;167.276;37420.9;
3.7;5.91011;532663;-0.0260176;-0.0260176;-0.0260176;1.08379;167.209;37450.8;
3.8;5.91011;534408;-0.0534685;-0.0534685;-0.0534685;2.12914;169.214;37790.5;
3.9;5.91011;536038;0.086233;0.086233;0.086233;2.48583;170.219;38218.1;
4;5.54506;537609;0.195377;0.195377;0.195377;1.58829;169.456;38271.3;
4.1;5.54506;536432;0.0690572;0.0690572;0.0690572;2.05873;169.749;38057.9;
4.2;5.54506;535237;-0.05117;-0.05117;-0.05117;1.42509;168.49;37761.8;
4.3;5.54506;534035;-0.0898001;-0.0898001;-0.0898001;2.06708;169.014;37653.9;
4.4;5.54506;532990;-0.0598355;-0.0598355;-0.0598355;1.33118;167.659;37692.9;
4.5;5.54506;532073;0.0100532;0.0100532;0.0100532;2.10497;168.457;37330;
4.6;5.54506;531089;0.0314395;0.0314395;0.0314395;1.69496;167.578;37303.1;
4.7;5.54506;529923;0.0831532;0.0831532;0.0831532;1.626;167.118;37362;
4.8;5.54506;528738;0.0884351;0.0884351;0.0884351;1.6358;166.763;37347.6;
4.9;5.54506;527771;0.0425026;0.0425026;0.0425026;2.39619;167.526;36921;
5;4.68983;526933;-0.046028;-0.046028;-0.046028;1.26811;165.696;36478.2;
5.1;4.68983;520638;-0.180038;-0.180038;-0.180038;1.62682;164.24;36091.2;
5.2;4.68983;514331;-0.109089;-0.109089;-0.109089;1.60126;162.242;35302.8;
5.3;4.68983;508166;-0.070749;-0.070749;-0.070749;1.3546;159.979;34246.3;
5.4;4.68983;502306;-0.133627;-0.133627;-0.133627;1.95762;159;33783.3;
5.5;4.68983;496536;-0.0710071;-0.0710071;-0.0710071;1.63573;156.755;32868.9;
5.6;4.68983;490639;0.0684049;0.0684049;0.0684049;1.03778;154.084;32137.6;
5.7;4.68983;484735;0.112207;0.112207;0.112207;0.997268;152.19;31075.2;
5.8;4.68983;472807;0.0062299;0.0062299;0.0062299;2.17709;152.112;30454;
5.9;4.68983;456484;-0.02378;-0.02378;-0.02378;1.6068;149.751;29714.4;
6;5.45502;444742;-0.0811999;-0.0811999;-0.0811999;2.31872;149.287;29238.1;
6.1;5.45502;446341;-0.0319592;-0.0319592;-0.0319592;1.38564;148.211;29297;
6.2;5.45502;447079;0.0467196;0.0467196;0.0467196;0.837573;147.659;29302.2;
6.3;5.45502;452612;-0.0308482;-0.0308482;-0.0308482;1.40239;148.724;29609.6;
6.4;5.45502;451267;-0.00729664;-0.00729664;-0.00729664;3.02816;151.236;29474;
6.5;5.45502;453115;0.0685536;0.0685536;0.0685536;1.40806;149.101;29568;
6.6;5.45502;453431;0.029255;0.029255;0.029255;1.39943;149.206;29565;
6.7;5.45502;452585;-0.0251385;-0.0251385;-0.0251385;1.49963;149.521;29474.9;
6.8;5.45502;457690;-0.114071;-0.114071;-0.114071;1.04655;149.114;29761.7;
6.9;5.45502;464461;-0.0576534;-0.0576534;-0.0576534;0.935774;149.118;30169.6;
7;6.7998;460903;0.0619514;0.0619514;0.0619514;0.833838;149.036;29923.2;
7.1;6.7998;488742;-0.0300476;-0.0300476;-0.0300476;1.08119;153.533;31082;
7.2;6.7998;501534;-0.0664343;-0.0664343;-0.0664343;1.96454;158.749;33058.8;
7.3;6.7998;513575;-0.000954138;-0.000954138;-0.000954138;0.674998;160.69;34697.8;
