# Export CSV started at 23/07/2024 10:30
# System name: "WECS_Odgaard_3_Blade_3.ame"
# Data set name: "2"
# ame_simulation_time;Vw;Ps;A3;A4;A5;A1;A2;A6;
# Time;Wind_speed;Power_sensor;Pitch angle_1;Pitch angle_2;Pitch angle_3;Rotor_speed_sensor;Generator_speed_sensor;Torque_sensor;
# s;m/s;W;deg;deg;deg;rpm;rpm;Nm;
0;10.7996;-69.5823;0;0;0;-1.07796;-1.50851;-20.8747;
0.1;10.7996;114854;-0.0816965;-0.0816965;-0.0816965;0.737625;98.7909;11279;
0.2;10.7996;375345;-0.199903;-0.199903;-0.199903;1.49984;144.727;25271.1;
0.3;10.7996;561723;-0.126036;-0.126036;-0.126036;1.7871;177.306;37457.4;
0.4;10.7996;633325;0.0132519;0.0132519;0.0132519;1.50151;199.151;50059;
0.5;10.7996;688781;0.0726417;0.0726417;0.0726417;1.56085;216.432;61715.6;
0.6;10.7996;746114;-0.0355309;-0.0355309;-0.0355309;2.31462;235.312;72653.1;
0.7;10.7996;807982;-0.142622;-0.142622;-0.142622;2.48538;254.832;84057.4;
0.8;10.7996;863723;-0.0505351;-0.0505351;-0.0505351;1.71168;271.116;94923.7;
0.9;10.7996;907280;-0.0446242;-0.0446242;-0.0446242;2.43033;285.657;106290;
1;13.5901;944518;-0.0371008;-0.0371008;-0.0371008;3.15117;298.192;116714;
1.1;13.5901;1.03653e+06;-0.036484;-0.036484;-0.036484;3.01299;326.614;138115;
1.2;13.5901;1.12525e+06;0.00589784;0.00589784;0.00589784;3.04306;354.274;162979;
1.3;13.5901;1.20559e+06;0.0188772;0.0188772;0.0188772;3.90144;380.483;186209;
1.4;13.5901;1.27572e+06;-0.0671478;-0.0671478;-0.0671478;3.99469;402.418;209789;
1.5;13.5901;1.33981e+06;-0.1421;-0.1421;-0.1421;4.8796;423.577;233077;
1.6;13.5901;1.40327e+06;-0.132932;-0.132932;-0.132932;4.79106;443.19;256597;
1.7;13.5901;1.46573e+06;-0.0111738;-0.0111738;-0.0111738;5.16056;463.149;279271;
1.8;13.5901;1.52359e+06;0.0511224;0.0511224;0.0511224;4.98556;480.91;302006;
1.9;13.5901;1.57592e+06;0.0922403;0.0922403;0.0922403;5.35549;497.698;323985;
2;13.0965;1.62571e+06;-0.0266415;-0.0266415;-0.0266415;4.58135;512.099;345460;
2.1;13.0965;1.66936e+06;-0.12563;-0.12563;-0.12563;4.81859;526.01;364438;
2.2;13.0965;1.71279e+06;-0.127996;-0.127996;-0.127996;5.6948;540.753;384915;
