# Export CSV started at 23/07/2024 10:32
# System name: "WECS_Odgaard_3_Blade_3.ame"
# Data set name: "6"
# ame_simulation_time;Vw;Ps;A3;A4;A5;A1;A2;A6;
# Time;Wind_speed;Power_sensor;Pitch angle_1;Pitch angle_2;Pitch angle_3;Rotor_speed_sensor;Generator_speed_sensor;Torque_sensor;
# s;m/s;W;deg;deg;deg;rpm;rpm;Nm;
6.5;4.45502;227999;0.0685536;0.0685536;0.0685536;1.08678;118.585;18700.2;
6.6;4.45502;229156;0.029255;0.029255;0.029255;1.07984;118.859;18749.4;
6.7;4.45502;229462;-0.0251385;-0.0251385;-0.0251385;1.18159;119.309;18725.4;
6.8;4.45502;233426;-0.114071;-0.114071;-0.114071;0.729878;119.018;18993.9;
6.9;4.45502;238495;-0.0576534;-0.0576534;-0.0576534;0.620402;119.152;19359.2;
7;5.7998;237016;0.0619514;0.0619514;0.0619514;0.519818;119.214;19202.8;
7.1;5.7998;255241;-0.0300476;-0.0300476;-0.0300476;0.763128;123.327;20041.3;
7.2;5.7998;281459;-0.0664343;-0.0664343;-0.0664343;1.64142;128.048;21486.5;
7.3;5.7998;303503;-0.000954138;-0.000954138;-0.000954138;0.34551;129.38;22604.1;
7.4;5.7998;324244;0.0113306;0.0113306;0.0113306;1.27236;133.461;23638.3;
7.5;5.7998;341457;0.0707153;0.0707153;0.0707153;1.30121;135.954;24438.1;
7.6;5.7998;359735;0.0849513;0.0849513;0.0849513;2.32731;139.63;25323.4;
7.7;5.7998;377825;0.157429;0.157429;0.157429;1.30417;140.245;26203.8;
7.8;5.7998;391147;0.138156;0.138156;0.138156;2.24832;143.407;26771.8;
7.9;5.7998;404897;0.112177;0.112177;0.112177;1.5872;144.103;27396.3;
8;3.89072;419562;-0.0457707;-0.0457707;-0.0457707;1.76184;145.866;28091.9;
8.1;3.89072;403395;-0.060244;-0.060244;-0.060244;0.941988;142.329;27467.2;
8.2;3.89072;380578;-0.0703174;-0.0703174;-0.0703174;1.77972;141.281;26328.4;
8.3;3.89072;367371;-0.0494141;-0.0494141;-0.0494141;1.14146;138.258;25810.8;
8.4;3.89072;351711;0.0461025;0.0461025;0.0461025;1.12149;136.206;25082.2;
8.5;3.89072;335894;0.0714005;0.0714005;0.0714005;0.737057;133.815;24288.6;
8.6;3.89072;320168;0.0362328;0.0362328;0.0362328;1.35221;132.989;23449.5;
8.7;3.89072;310343;-0.117759;-0.117759;-0.117759;1.49095;131.614;23005.4;
8.8;3.89072;297491;-0.0672521;-0.0672521;-0.0672521;1.22894;129.715;22316.7;
8.9;3.89072;290933;-0.093483;-0.093483;-0.093483;1.71958;128.99;22068.2;
9;4.17089;280671;-0.0982981;-0.0982981;-0.0982981;0.917702;126.599;21504.8;
9.1;4.17089;273550;-0.134134;-0.134134;-0.134134;1.49002;126.676;21081.1;
9.2;4.17089;272189;-0.107916;-0.107916;-0.107916;1.35738;125.77;21098.2;
9.3;4.17089;264413;-0.142387;-0.142387;-0.142387;1.79052;125.686;20610.2;
9.4;4.17089;264675;-0.129075;-0.129075;-0.129075;1.4288;124.561;20734.9;
9.5;4.17089;258541;0.0234936;0.0234936;0.0234936;0.988073;123.38;20348.2;
9.6;4.17089;253403;0.0315605;0.0315605;0.0315605;1.52634;123.589;20033.1;
9.7;4.17089;254625;0.00779934;0.00779934;0.00779934;0.367425;121.415;20221.7;
9.8;4.17089;248789;-0.0227052;-0.0227052;-0.0227052;0.477652;121.063;19841.1;
9.9;4.17089;242944;-0.0791546;-0.0791546;-0.0791546;1.06103;121.464;19442.3;
10;4.27969;243876;-0.225567;-0.225567;-0.225567;1.75157;122.087;19572.7;
10.1;4.27969;242152;-0.203374;-0.203374;-0.203374;0.529608;120.215;19460.7;
10.2;4.27969;243522;-0.172393;-0.172393;-0.172393;0.863124;120.504;19599.8;
10.3;4.27969;239815;-0.163013;-0.163013;-0.163013;1.00309;120.558;19324.4;
10.4;4.27969;242163;-0.182739;-0.182739;-0.182739;1.64629;121.363;19529.2;
10.5;4.27969;240260;-0.0575919;-0.0575919;-0.0575919;0.444755;119.554;19396.7;
10.6;4.27969;237247;0.0109085;0.0109085;0.0109085;1.10645;120.307;19181.2;
10.7;4.27969;238236;-0.0830077;-0.0830077;-0.0830077;1.86307;121.22;19284.8;
10.8;4.27969;235595;-0.152459;-0.152459;-0.152459;1.30378;120.354;19084.5;
10.9;4.27969;238046;-0.0743616;-0.0743616;-0.0743616;1.08061;119.965;19295.6;
11;4.72631;237011;0.116729;0.116729;0.116729;1.44468;120.334;19233.4;
11.1;4.72631;240251;0.185601;0.185601;0.185601;2.1795;122.095;19376.3;
11.2;4.72631;245894;0.243709;0.243709;0.243709;1.12772;121.308;19717.9;
11.3;4.72631;247593;0.2995;0.2995;0.2995;1.44337;122.406;19745.9;
11.4;4.72631;249978;0.175088;0.175088;0.175088;1.53684;123.157;19834;
11.5;4.72631;255369;-0.0316926;-0.0316926;-0.0316926;1.30259;123.411;20164.8;
11.6;4.72631;260746;-0.0736336;-0.0736336;-0.0736336;1.99546;124.938;20495.4;
11.7;4.72631;262716;0.0154217;0.0154217;0.0154217;1.50461;124.788;20559.8;
11.8;4.72631;265035;0.0385738;0.0385738;0.0385738;1.05308;124.661;20656.3;
11.9;4.72631;267379;-0.00395357;-0.00395357;-0.00395357;1.06007;125.115;20764.1;
12;3.87783;270805;0.0752485;0.0752485;0.0752485;0.741233;125.033;20970.5;
12.1;3.87783;263458;0.0414879;0.0414879;0.0414879;1.34465;124.707;20595.9;
12.2;3.87783;260340;-0.0222999;-0.0222999;-0.0222999;1.54873;123.928;20530.2;
12.3;3.87783;251921;0.0130874;0.0130874;0.0130874;0.932922;122.059;20032.2;
12.4;3.87783;245224;0.0235347;0.0235347;0.0235347;1.323;121.624;19659.4;
12.5;3.87783;241533;-0.058439;-0.058439;-0.058439;2.40268;122.227;19511.4;
12.6;3.87783;233450;-0.0773701;-0.0773701;-0.0773701;1.25118;119.808;18987.5;
12.7;3.87783;231359;-0.0409735;-0.0409735;-0.0409735;1.48852;119.389;18938;
12.8;3.87783;225916;0.0955468;0.0955468;0.0955468;2.1236;119.523;18612.3;
12.9;3.87783;223880;0.0534068;0.0534068;0.0534068;1.52793;117.96;18560.7;
13;2.73782;218972;0.0562441;0.0562441;0.0562441;1.70259;117.541;18261.4;
13.1;2.73782;206922;0.0785436;0.0785436;0.0785436;0.647552;114.143;17549.7;
13.2;2.73782;197089;-0.0753725;-0.0753725;-0.0753725;0.529685;112.156;16989.4;
13.3;2.73782;191132;-0.19539;-0.19539;-0.19539;1.35419;111.55;16740.4;
