# Export CSV started at 23/07/2024 10:31
# System name: "WECS_Odgaard_3_Blade_3.ame"
# Data set name: "3"
# ame_simulation_time;Vw;Ps;A3;A4;A5;A1;A2;A6;
# Time;Wind_speed;Power_sensor;Pitch angle_1;Pitch angle_2;Pitch angle_3;Rotor_speed_sensor;Generator_speed_sensor;Torque_sensor;
# s;m/s;W;deg;deg;deg;rpm;rpm;Nm;
0;9.79961;-69.5823;0;0;0;-1.07796;-1.50851;-20.8747;
0.1;9.79961;74162.4;-0.0816965;-0.0816965;-0.0816965;0.590422;85.3937;8421.82;
0.2;9.79961;244487;-0.199903;-0.199903;-0.199903;1.29722;125.413;18997;
0.3;9.79961;444651;-0.126036;-0.126036;-0.126036;1.54469;153.784;28167.9;
0.4;9.79961;547247;0.0132519;0.0132519;0.0132519;1.21803;171.976;37453.6;
0.5;9.79961;593440;0.0726417;0.0726417;0.0726417;1.24141;186.332;45886.5;
0.6;9.79961;641406;-0.0355309;-0.0355309;-0.0355309;1.96311;202.254;53717;
0.7;9.79961;693379;-0.142622;-0.142622;-0.142622;2.10457;218.651;61939.8;
0.8;9.79961;740123;-0.0505351;-0.0505351;-0.0505351;1.30371;232.094;69696.7;
0.9;9.79961;776386;-0.0446242;-0.0446242;-0.0446242;1.99683;244.333;77897.6;
1;12.5901;807227;-0.0371008;-0.0371008;-0.0371008;2.69355;254.848;85302.6;
1.1;12.5901;891648;-0.036484;-0.036484;-0.036484;2.52965;280.873;101956;
1.2;12.5901;972217;0.00589784;0.00589784;0.00589784;2.53462;305.96;121523;
1.3;12.5901;1.04487e+06;0.0188772;0.0188772;0.0188772;3.36873;329.74;139674;
1.4;12.5901;1.10814e+06;-0.0671478;-0.0671478;-0.0671478;3.43829;349.511;158112;
1.5;12.5901;1.16571e+06;-0.1421;-0.1421;-0.1421;4.30016;368.611;176285;
1.6;12.5901;1.22244e+06;-0.132932;-0.132932;-0.132932;4.18935;386.101;194644;
1.7;12.5901;1.27814e+06;-0.0111738;-0.0111738;-0.0111738;4.53748;403.924;212268;
1.8;12.5901;1.32967e+06;0.0511224;0.0511224;0.0511224;4.34187;419.686;229957;
1.9;12.5901;1.37619e+06;0.0922403;0.0922403;0.0922403;4.6918;434.64;246994;
2;12.0965;1.42033e+06;-0.0266415;-0.0266415;-0.0266415;3.89819;447.259;263590;
2.1;12.0965;1.4583e+06;-0.12563;-0.12563;-0.12563;4.11685;459.376;278031;
2.2;12.0965;1.49601e+06;-0.127996;-0.127996;-0.127996;4.97492;472.314;293780;
2.3;12.0965;1.53101e+06;-0.00266111;-0.00266111;-0.00266111;5.86198;484.444;306457;
2.4;12.0965;1.56353e+06;0.0446785;0.0446785;0.0446785;5.71561;494.349;320560;
2.5;12.0965;1.59546e+06;0.0324008;0.0324008;0.0324008;5.84703;504.463;334884;
2.6;12.0965;1.6274e+06;0.076777;0.076777;0.076777;6.13496;514.804;348005;
2.7;12.0965;1.65822e+06;0.121949;0.121949;0.121949;5.23834;523.14;361711;
2.8;12.0965;1.68716e+06;0.0900682;0.0900682;0.0900682;5.03305;531.853;374066;
2.9;12.0965;1.71541e+06;0.00467089;0.00467089;0.00467089;5.03524;540.639;386877;
3;11.9101;1.74398e+06;-0.0374778;-0.0374778;-0.0374778;5.35899;549.984;400275;
3.1;11.9101;1.77018e+06;-0.0918088;-0.0918088;-0.0918088;6.04104;559.091;412018;
3.2;11.9101;1.79498e+06;0.0545897;0.0545897;0.0545897;6.05919;566.829;423703;
3.3;11.9101;1.81855e+06;0.103901;0.103901;0.103901;6.28547;574.474;434547;
3.4;11.9101;1.84227e+06;0.0207681;0.0207681;0.0207681;6.62377;582.328;447404;
3.5;11.9101;1.86593e+06;0.0378017;0.0378017;0.0378017;6.58853;589.639;459482;
3.6;11.9101;1.88851e+06;0.0669297;0.0669297;0.0669297;6.06637;595.932;470252;
3.7;11.9101;1.91031e+06;-0.0260176;-0.0260176;-0.0260176;5.66311;602.147;480632;
3.8;11.9101;1.93222e+06;-0.0534685;-0.0534685;-0.0534685;6.77526;610.518;492028;
3.9;11.9101;1.95393e+06;0.086233;0.086233;0.086233;7.1971;617.863;503690;
4;11.5451;1.97459e+06;0.195377;0.195377;0.195377;6.36284;623.127;513873;
4.1;11.5451;1.99132e+06;0.0690572;0.0690572;0.0690572;6.89427;629.075;522723;
4.2;11.5451;2.00817e+06;-0.05117;-0.05117;-0.05117;6.32107;633.512;531267;
4.3;11.5451;2.02531e+06;-0.0898001;-0.0898001;-0.0898001;7.02273;639.826;540422;
4.4;11.5451;2.04217e+06;-0.0598355;-0.0598355;-0.0598355;6.34552;644.124;550143;
4.5;11.5451;2.05822e+06;0.0100532;0.0100532;0.0100532;7.17681;650.279;558110;
4.6;11.5451;2.07387e+06;0.0314395;0.0314395;0.0314395;6.82317;654.651;567306;
4.7;11.5451;2.08957e+06;0.0831532;0.0831532;0.0831532;6.80938;659.518;576716;
4.8;11.5451;2.10504e+06;0.0884351;0.0884351;0.0884351;6.87325;664.421;585731;
4.9;11.5451;2.11995e+06;0.0425026;0.0425026;0.0425026;7.68701;670.195;592975;
5;10.6898;2.13458e+06;-0.046028;-0.046028;-0.046028;6.61174;673.249;600189;
5.1;10.6898;2.14327e+06;-0.180038;-0.180038;-0.180038;7.01988;676.525;607103;
5.2;10.6898;2.15209e+06;-0.109089;-0.109089;-0.109089;7.04313;679.3;612233;
5.3;10.6898;2.16031e+06;-0.070749;-0.070749;-0.070749;6.84436;681.579;616056;
5.4;10.6898;2.16828e+06;-0.133627;-0.133627;-0.133627;7.49477;684.968;622208;
5.5;10.6898;2.17648e+06;-0.0710071;-0.0710071;-0.0710071;7.2195;687.133;626353;
5.6;10.6898;2.18467e+06;0.0684049;0.0684049;0.0684049;6.66705;688.908;631124;
5.7;10.6898;2.19229e+06;0.112207;0.112207;0.112207;6.67104;691.283;634157;
5.8;10.6898;2.1996e+06;0.0062299;0.0062299;0.0062299;7.89483;695.269;638946;
5.9;10.6898;2.20718e+06;-0.02378;-0.02378;-0.02378;7.36702;696.888;643072;
6;11.455;2.21514e+06;-0.0811999;-0.0811999;-0.0811999;8.11992;700.414;648047;
6.1;11.455;2.22817e+06;-0.0319592;-0.0319592;-0.0319592;7.22692;703.217;655512;
6.2;11.455;2.24054e+06;0.0467196;0.0467196;0.0467196;6.71855;706.351;662642;
6.3;11.455;2.25295e+06;-0.0308482;-0.0308482;-0.0308482;7.3225;711.054;671050;
6.4;11.455;2.26562e+06;-0.00729664;-0.00729664;-0.00729664;8.98712;717.328;677295;
6.5;11.455;2.27788e+06;0.0685536;0.0685536;0.0685536;7.40547;718.929;684842;
6.6;11.455;2.28951e+06;0.029255;0.029255;0.029255;7.43482;722.587;691731;
6.7;11.455;2.30117e+06;-0.0251385;-0.0251385;-0.0251385;7.57279;726.405;698170;
6.8;11.455;2.31331e+06;-0.114071;-0.114071;-0.114071;7.15721;729.601;706490;
