# Export CSV started at 23/07/2024 10:31
# System name: "WECS_Odgaard_3_Blade_3.ame"
# Data set name: "4"
# ame_simulation_time;Vw;Ps;A3;A4;A5;A1;A2;A6;
# Time;Wind_speed;Power_sensor;Pitch angle_1;Pitch angle_2;Pitch angle_3;Rotor_speed_sensor;Generator_speed_sensor;Torque_sensor;
# s;m/s;W;deg;deg;deg;rpm;rpm;Nm;
0;4.79961;-69.5823;0;0;0;-1.07796;-1.50851;-20.8747;
0.1;4.79961;2851.73;-0.0816965;-0.0816965;-0.0816965;-0.0289882;29.0177;964.566;
0.2;4.79961;10270;-0.199903;-0.199903;-0.199903;0.436223;43.3719;2321.46;
0.3;4.79961;18605.6;-0.126036;-0.126036;-0.126036;0.513276;53.7187;3383.84;
0.4;4.79961;29358.9;0.0132519;0.0132519;0.0132519;0.05232;60.2524;4695.48;
0.5;4.79961;39734.4;0.0726417;0.0726417;0.0726417;-0.0407104;65.6121;5818.58;
0.6;4.79961;50168.3;-0.0355309;-0.0355309;-0.0355309;0.576803;71.949;6778.63;
0.7;4.79961;62964.9;-0.142622;-0.142622;-0.142622;0.622305;77.769;7869.76;
0.8;4.79961;74964.7;-0.0505351;-0.0505351;-0.0505351;-0.268153;81.6289;8785.53;
0.9;4.79961;88494.7;-0.0446242;-0.0446242;-0.0446242;0.340208;86.3714;9899.53;
1;7.59011;99700.7;-0.0371008;-0.0371008;-0.0371008;0.956329;90.3883;10746.4;
1.1;7.59011;158502;-0.036484;-0.036484;-0.036484;0.687033;106.604;14401.8;
1.2;7.59011;235201;0.00589784;0.00589784;0.00589784;0.582763;120.492;18866.6;
1.3;7.59011;309767;0.0188772;0.0188772;0.0188772;1.30699;133.243;22630;
1.4;7.59011;386499;-0.0671478;-0.0671478;-0.0671478;1.26548;142.807;26309.1;
1.5;7.59011;461145;-0.1421;-0.1421;-0.1421;2.01586;151.951;29685.8;
1.6;7.59011;503127;-0.132932;-0.132932;-0.132932;1.79484;159.005;32945.8;
1.7;7.59011;525793;-0.0111738;-0.0111738;-0.0111738;2.03829;166.4;35891.2;
1.8;7.59011;546568;0.0511224;0.0511224;0.0511224;1.74292;172.452;38889.7;
1.9;7.59011;565113;0.0922403;0.0922403;0.0922403;1.99688;178.574;41649.1;
2;7.09645;582309;-0.0266415;-0.0266415;-0.0266415;1.11068;182.685;44229.8;
2.1;7.09645;593703;-0.12563;-0.12563;-0.12563;1.24237;186.414;46031.5;
2.2;7.09645;605181;-0.127996;-0.127996;-0.127996;2.016;191.069;48390.6;
2.3;7.09645;615753;-0.00266111;-0.00266111;-0.00266111;2.82176;195.486;49548.1;
2.4;7.09645;625314;0.0446785;0.0446785;0.0446785;2.59674;198.144;51316.2;
2.5;7.09645;634460;0.0324008;0.0324008;0.0324008;2.65187;201.064;53201.9;
2.6;7.09645;643562;0.076777;0.076777;0.076777;2.86591;204.196;54634.4;
2.7;7.09645;652473;0.121949;0.121949;0.121949;1.89738;205.614;56309;
2.8;7.09645;660803;0.0900682;0.0900682;0.0900682;1.62188;207.819;57486.3;
2.9;7.09645;668681;0.00467089;0.00467089;0.00467089;1.55526;210.176;58853;
3;6.91011;676504;-0.0374778;-0.0374778;-0.0374778;1.81155;212.969;60447.6;
